Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Heuzé M.L., Sankara Narayana G.H.N., D’Alessandro J., Cellerin V., Dang T., Williams D.S., Van Hest J.C.M., Marcq P., Mège R.-M., Ladoux B.",Myosin II isoforms play distinct roles in adherens junction biogenesis,,,2019,8,1,,,28,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Toth D., Hailegnaw B., Richheimer F., Castro F.A., Kienberger F., Scharber M.C., Wood S., Gramse G.",Nanoscale Charge Accumulation and Its Effect on Carrier Dynamics in Tri-cation Perovskite Structures,,,2020,12,42,48057-48066,,10,,ACS Applied Materials and Interfaces,American Chemical Society,,,,,Article
"Chen Z., Li Q., Xu S., Ouyang J., Wei H.",Nanotopography-Modulated Epithelial Cell Collective Migration,,,2021,17,6,1079-1087,,0,,Journal of biomedical nanotechnology,NLM (Medline),,,,,Article
"Choi S., Yu J., Kim W., Park K.-S.",N-cadherin mediates the migration of bone marrowderived mesenchymal stem cells toward breast tumor cells,,,2021,11,14,6786-6799,,2,,Theranostics,Ivyspring International Publisher,,,,,Article
"Lee H.G., Lee K.J.","Neighbor-enhanced diffusivity in dense, cohesive cell populations",,,2021,17,9,,,1,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Woychek A., Jones J.C.R.","Nesprin-2G knockout fibroblasts exhibit reduced migration, changes in focal adhesion composition, and reduced ability to generate traction forces",,,2019,76,2,200-208,,4,,Cytoskeleton,John Wiley and Sons Inc,,,,,Article
"Han P., Liu J., Lei Y., Lin Z., Tian D., Yan W.",Netrin-1 promotes the collective cell migration of liver cancer cells in a 3D cell culture model,,,2019,75,4,489-498,,5,,Journal of Physiology and Biochemistry,Springer,,,,,Article
Schumacher L.J.,Neural crest migration with continuous cell states,,,2019,481,1,84-90,,6,,Journal of Theoretical Biology,Academic Press,,,,,Article
"Szabó A., Theveneau E., Turan M., Mayor R.",Neural crest streaming as an emergent property of tissue interactions during morphogenesis,,,2019,15,4,,,15,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Hasan M.F., Berdichevsky Y.",Neuron and astrocyte aggregation and sorting in three-dimensional neuronal constructs,,,2021,4,1,,,2,,Communications Biology,Nature Research,,,,,Article
"Qazi T.H., Mooney D.J., Duda G.N., Geissler S.",Niche-mimicking interactions in peptide-functionalized 3D hydrogels amplify mesenchymal stromal cell paracrine effects,,,2020,230,1,,,25,,Biomaterials,Elsevier Ltd,,,,,Article
"Jhawar J., Guttal V.",Noise-induced effects in collective dynamics and inferring local interactions from data: Inferring Noise-induced States,,,2020,375,1807,,,7,,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society Publishing,,,,,Article
"Carvalho J.R., Fortunato I.C., Fonseca C.G., Pezzarossa A., Barbacena P., Dominguez-Cejudo M.A., Vasconcelos F.F., Santos N.C., Carvalho F.A., Franco C.A.",Non-canonical Wnt signaling regulates junctional mechanocoupling during angiogenic collective cell migration,,,2019,8,1,,,33,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Ichikawa T., Stuckenholz C., Davidson L.A.","Non-junctional role of Cadherin3 in cell migration and contact inhibition of locomotion via domain-dependent, opposing regulation of Rac1",,,2020,10,1,,,1,,Scientific Reports,Nature Research,,,,,Article
"Wei L., Al Oustah A., Blader P., Roussigné M.",Notch signaling restricts FGF pathway activation in parapineal cells to promote their collective migration,,,2019,8,1,,,4,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Durán M., Burballa C., Cantero-Recasens G., Butnaru C.M., Malhotra V., Ariceta G., Sarró E., Meseguer A.",Novel Dent disease 1 cellular models reveal biological processes underlying ClC-5 loss-of-function,,,2021,30,15,1413-1428,,0,,Human Molecular Genetics,Oxford University Press,,,,,Article
"Kell M.J., Ang S.F., Pigati L., Halpern A., Fölsch H.",Novel function for AP-1B during cell migration,,,2020,31,22,2475-2493,,1,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Khoshnevisan R., Anderson M., Babcock S., Anderson S., Illig D., Marquardt B., Sherkat R., Schröder K., Moll F., Hollizeck S., Rohlfs M., Walz C., Adibi P., Rezaei A., Andalib A., Koletzko S., Muise A.M., Snapper S.B., Klein C., Thiagarajah J.R., Kotlarz D.",NOX1 regulates collective and planktonic cell migration: Insights from patients with pediatric-onset IBD and NOX1 deficiency,,,2020,26,8,1166-1176,,5,,Inflammatory Bowel Diseases,Oxford University Press,,,,,Article
"Bocci F., Tripathi S.C., Vilchez Mercedes S.A., George J.T., Casabar J.P., Wong P.K., Hanash S.M., Levine H., Onuchic J.N., Jolly M.K.",NRF2 activates a partial epithelial-mesenchymal transition and is maximally present in a hybrid epithelial/mesenchymal phenotype,,,2019,11,6,251-263,,57,,Integrative biology : quantitative biosciences from nano to macro,NLM (Medline),,,,,Article
"Vilchez Mercedes S.A., Bocci F., Ahmed M., Eder I., Zhu N., Levine H., Onuchic J.N., Jolly M.K., Wong P.K.",Nrf2 Modulates the Hybrid Epithelial/Mesenchymal Phenotype and Notch Signaling During Collective Cancer Migration,,,2022,9,1,,,0,,Frontiers in Molecular Biosciences,Frontiers Media S.A.,,,,,Article
"Chen W., Wang W., Sun X., Xie S., Xu X., Liu M., Yang C., Li M., Zhang W., Liu W., Wang L., Zhou T., Yang Y.",NudCL2 regulates cell migration by stabilizing both myosin-9 and LIS1 with Hsp90,,,2020,11,7,,,4,,Cell Death and Disease,Springer Nature,,,,,Article
"de Haan M., Zavodszky G., Azizi V., Hoekstra A. G.",Numerical investigation of the effects of red blood cell cytoplasmic viscosity contrasts on single cell and bulk transport behaviour,,,2018,8,9,,,12,,Applied Sciences (Switzerland),MDPI AG,,,,,Article
"Lin L., Zeng X.",Numerical investigation of the role of intercellular interactions on collective epithelial cell migration,,,2018,17,2,439-448,,4,,Biomechanics and Modeling in Mechanobiology,Springer Verlag,,,,,Article
"Cai L.-B., Ji W., Luo J., Lei Q.-L., Ma Y.-Q.",Numerical study of dynamic zigzag patterns in migrating epithelial tissue,,,2022,65,1,,,0,,"Science China: Physics, Mechanics and Astronomy",Science Press (China),,,,,Article
"Teryukova N. P., Malkova V. V., Sakhenberg E. I., Ivanov V. A., Bezborodkina N. N., Snopov S. A.",On reprogramming of tumor cells metabolism: detection of glycogen in the cell lines of hepatocellular origin with various degrees of dedifferentiation,,,2018,70,2,879-890,,3,,Cytotechnology,Springer Netherlands,,,,,Article
Fredberg J.J.,On the origins of order,,,2022,18,12,2346-2353,,0,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Edgar L.T., Franco C.A., Gerhardt H., Bernabeu M.O.",On the preservation of vessel bifurcations during flow-mediated angiogenic remodelling,,,2021,17,2,,,2,,PLoS Computational Biology,Public Library of Science,,,,,Article
Ahlin T.,Only Near Is Dear? Doing Elderly Care with Everyday ICTs in Indian Transnational Families,,,2018,32,1,85-102,,26,,Medical Anthropology Quarterly,Wiley-Blackwell,,,,,Article
"Pramotton F.M., Robotti F., Giampietro C., Lendenmann T., Poulikakos D., Ferrari A.",Optimized Topological and Topographical Expansion of Epithelia,,,2019,5,8,3922-3934,,5,,ACS Biomaterials Science and Engineering,American Chemical Society,,,,,Article
"Tantengco O.A.G., Richardson L.S., Medina P.M.B., Han A., Menon R.",Organ-on-chip of the cervical epithelial layer: A platform to study normal and pathological cellular remodeling of the cervix,,,2021,35,4,,,6,,FASEB Journal,John Wiley and Sons Inc,,,,,Article
"Spennati G., Horowitz L.F., McGarry D.J., Rudzka D.A., Armstrong G., Olson M.F., Folch A., Yin H.",Organotypic platform for studying cancer cell metastasis,,,2021,401,2,,,2,,Experimental Cell Research,Elsevier Inc.,,,,,Article
"Petrolli V., Boudou T., Balland M., Cappello G.",Oscillations in collective cell migration,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,157-192,7,1,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Verdejo-Torres O., Flores-Maldonado C., Padilla-Benavides T., Campos-Blázquez J.P., Larré I., Lara-Lemus R., Perez Salazar E., Cereijido M., Contreras R.G.",Ouabain Accelerates Collective Cell Migration Through a cSrc and ERK1/2 Sensitive Metalloproteinase Activity,,,2019,252,6,549-559,,3,,Journal of Membrane Biology,Springer New York LLC,,,,,Article
"Stock K., Borrink R., Mikesch J.-H., Hansmeier A., Rehkämper J., Trautmann M., Wardelmann E., Hartmann W., Sperveslage J., Steinestel K.",Overexpression and Tyr421-phosphorylation of cortactin is induced by three-dimensional spheroid culturing and contributes to migration and invasion of pancreatic ductal adenocarcinoma (PDAC) cells,,,2019,19,1,,,10,,Cancer Cell International,BioMed Central Ltd.,,,,,Article
"Shim G., Devenport D., Cohen D.J.",Overriding native cell coordination enhances external programming of collective cell migration,,,2021,118,29,,,3,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Venhuizen J.-H., Span P.N., van den Dries K., Sommer S., Friedl P., Zegers M.M.",P120 catenin isoforms differentially associate with breast cancer invasion and metastasis,,,2019,11,10,,,6,,Cancers,MDPI AG,,,,,Article
"Gritsenko P.G., Atlasy N., Dieteren C.E.J., Navis A.C., Venhuizen J.-H., Veelken C., Schubert D., Acker-Palmer A., Westerman B.A., Wurdinger T., Leenders W., Wesseling P., Stunnenberg H.G., Friedl P.",p120-catenin-dependent collective brain infiltration by glioma cell networks,,,2020,22,1,97-107,,32,,Nature Cell Biology,Nature Research,,,,,Article
"Hirose S., Tabata Y., Sone K., Takahashi N., Yoshino D., Funamoto K.",P21-activated kinase regulates oxygen-dependent migration of vascular endothelial cells in monolayers,,,2021,15,1,272-284,,1,,Cell Adhesion and Migration,Taylor and Francis Ltd.,,,,,Article
"Scepanovic G., Hunter M.V., Kafri R., Fernandez-Gonzalez R.",p38-mediated cell growth and survival drive rapid embryonic wound repair,,,2021,37,3,,,1,,Cell Reports,Elsevier B.V.,,,,,Article
"Lin D., Chen X., Lin Z., Lin J., Liu Y., Liu D.",Paper-supported co-culture system for dynamic investigations of the lung-tropic migration of breast cancer cells,,,2021,16,2,,,0,,Biomedical Materials (Bristol),IOP Publishing Ltd,,,,,Article
"Byrne A.B., Brouillard P., Sutton D.L., Kazenwadel J., Montazaribarforoushi S., Secker G.A., Oszmiana A., Babic M., Betterman K.L., Brautigan P.J., White M., Piltz S.G., Thomas P.Q., Hahn C.N., Rath M., Felbor U., Korenke G.C., Smith C.L., Wood K.H., Sheppard S.E., Adams D.M., Kariminejad A., Helaers R., Boon L.M., Revencu N., Moore L., Barnett C., Haan E., Arts P., Vikkula M., Scott H.S., Harvey N.L.",Pathogenic variants in MDFIC cause recessive central conducting lymphatic anomaly with lymphedema,,,2022,14,634,,,1,,Science Translational Medicine,American Association for the Advancement of Science,,,,,Article
"Xu W., Alpha K.M., Zehrbach N.M., Turner C.E.",Paxillin promotes breast tumor collective cell invasion through maintenance of adherens junction integrity,,,2022,33,2,ar14-,,0,,Molecular biology of the cell,NLM (Medline),,,,,Article
"Borgne-Rochet M.L., Angevin L., Bazellières E., Ordas L., Comunale F., Denisov E.V., Tashireva L.A., Perelmuter V.M., Bièche I., Vacher S., Plutoni C., Seveno M., Bodin S., Gauthier-Rouvière C.",P-cadherin-induced decorin secretion is required for collagen fiber alignment and directional collective cell migration,,,2019,132,21,,,5,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Shindo A., Inoue Y., Kinoshita M., Wallingford J.B.",PCP-dependent transcellular regulation of actomyosin oscillation facilitates convergent extension of vertebrate tissue,,,2019,446,2,159-167,,15,,Developmental Biology,Elsevier Inc.,,,,,Article
"Nagel M., Winklbauer R.",PDGF-A suppresses contact inhibition during directional collective cell migration,,,2018,145,13,,,5,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Tuguzbaeva G., Yue E., Chen X., He L., Li X., Ju J., Qin Y., Pavlov V., Lu Y., Jia W., Bai Y., Niu Y., Yang B.",PEP06 polypeptide 30 is a novel cluster-dissociating agent inhibiting αv integrin/FAK/Src signaling in oral squamous cell carcinoma cells,,,2019,9,6,1163-1173,,12,,Acta Pharmaceutica Sinica B,Chinese Academy of Medical Sciences,,,,,Article
"Knüsel S., Jenni A., Benninger M., Bütikofer P., Roditi I.",Persistence of Trypanosoma brucei as early procyclic forms and social motility are dependent on glycosylphosphatidylinositol transamidase,,,2022,117,4,802-817,,0,,Molecular Microbiology,John Wiley and Sons Inc,,,,,Article
"Moure A., Gomez H.",Phase-Field Modeling of Individual and Collective Cell Migration,,,2021,28,2,311-344,,9,,Archives of Computational Methods in Engineering,Springer Science and Business Media B.V.,,,,,Article
"Kim S.-K., Jang S.D., Kim H., Chung S., Park J.K., Kuh H.-J.",Phenotypic heterogeneity and plasticity of cancer cell migration in a pancreatic tumor three-dimensional culture model,,,2020,12,5,,,12,,Cancers,MDPI AG,,,,,Article
"La Porta C.A.M., Zapperi S.",Phenotypic plasticity: the emergence of cancer stem cells and collective cell migration,Successes and Challenges of NK Immunotherapy,,2020,,,639-649,10,1,"Levine H., Jolly M.K., Kulkarni P., Nanjundiah V.",Phenotypic Switching: Implications in Biology and Medicine,Elsevier,,,,9780128179963,Book Chapter
"Yamamoto S., Okada K., Sasaki N., Chang A.C., Yamaguchi K., Nakanishi J.","Photoactivatable Hydrogel Interfaces for Resolving the Interplay of Chemical, Mechanical, and Geometrical Regulation of Collective Cell Migration",,,2019,35,23,7459-7468,,6,,Langmuir,American Chemical Society,,,,,Article
"Abdellatef S. A., Nakanishi J.",Photoactivatable substrates for systematic study of the impact of an extracellular matrix ligand on appearance of leader cells in collective cell migration,,,2018,169,1,72-84,,8,,Biomaterials,Elsevier Ltd,,,,,Article
"Sentoku M., Hashimoto H., Iida K., Endo M., Yasuda K.",Photothermal agarose microfabrication technology for collective cell migration analysis,,,2021,12,9,,,1,,Micromachines,MDPI,,,,,Article
"Pan M., Yang Y., Liu L.",Physical Forces Influence the Self-organization of the Leader Cell Formation during Collective Cell Migration,,,2021,,,1923-1926,,0,,"Proceedings of the 16th Annual IEEE International Conference on Nano/Micro Engineered and Molecular Systems, NEMS 2021",Institute of Electrical and Electronics Engineers Inc.,16th Annual IEEE International Conference on Nano/Micro Engineered and Molecular Systems,25-Apr-21,"Xiamen, China",9781665419413,Conference Paper
"Gómez-Escudero J., Clemente C., García-Weber D., Acín-Pérez R., Millán J., Enríquez J.A., Bentley K., Carmeliet P., Arroyo A.G.",PKM2 regulates endothelial cell junction dynamics and angiogenesis via ATP production,,,2019,9,1,,,18,,Scientific Reports,Nature Publishing Group,,,,,Article
"Stedden C.G., Menegas W., Zajac A.L., Williams A.M., Cheng S., Özkan E., Horne-Badovinac S.",Planar-Polarized Semaphorin-5c and Plexin A Promote the Collective Migration of Epithelial Cells in Drosophila,,,2019,29,6,908-920,,18,,Current Biology,Cell Press,,,,,Article
"Cheng C. -C., Chao W. -T., Liao C. -C., Tseng Y. -H., Lai Y. -C. C., Lai Y. -S., Hsu Y. -H., Liu Y. -H.",Plectin deficiency in liver cancer cells promotes cell migration and sensitivity to sorafenib treatment,,,2018,12,1,19-27,,12,,Cell Adhesion and Migration,Taylor and Francis Inc.,,,,,Article
"Shen H., He M., Lin R., Zhan M., Xu S., Huang X., Xu C., Chen W., Yao Y., Mohan M., Wang J.",PLEK2 promotes gallbladder cancer invasion and metastasis through EGFR/CCL2 pathway,,,2019,38,1,,,25,,Journal of Experimental and Clinical Cancer Research,BioMed Central Ltd.,,,,,Article
"Ghosh D., Dutta A., Kashyap A., Upmanyu N., Datta S.",PLP2 drives collective cell migration via ZO-1-mediated cytoskeletal remodeling at the leading edge in human colorectal cancer cells,,,2021,134,18,,,0,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Hayakawa M., Hiraiwa T., Wada Y., Kuwayama H., Shibata T.",Polar pattern formation induced by contact following locomotion in a multicellular system,,,2020,9,1,,,9,,eLife,eLife Sciences Publications Ltd,,,,,Article
